,cod_job,job
716,716,songwriters (Train)
717,717,songwriters (U2)
718,718,songwriters (USA For Africa - Various Artists)
719,719,songwriters (Vince Gill)
720,720,songwriters (Willie Nelson)
721,721,songwriters (Yola)
722,722,songwriters (Yolanda Adams)
723,723,surround mastering engineer
724,724,surround mastering engineers
725,725,surround mix engineer
726,726,surround producer (Beyoncé)
727,727,surround producer (Donald Fagen)
728,728,surround producer (Patricia Barber)
729,729,surround producer (Paul McCartney)
730,730,surround producer (Roger Waters)
731,731,surround producer (The Alan Parsons Project)
732,732,surround producers
733,733,surround producers (Derek & The Dominos)
734,734,surround producers (Dire Straits)
735,735,surround producers (Ray Charles & Various Artists)
736,736,surround producers (The Beatles)
737,737,video director
738,738,video directors
739,739,video producer
740,740,video producers
741,741,violin
